         212540 function calls (208312 primitive calls) in 0.461 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      404    0.077    0.000    0.077    0.000 {built-in method nt._getfinalpathname}
     2258    0.021    0.000    0.021    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      101    0.017    0.000    0.017    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
      530    0.012    0.000    0.016    0.000 C:\Users\Admin\anaconda3\lib\inspect.py:2901(_bind)
3244/3236    0.010    0.000    0.010    0.000 {built-in method numpy.array}
      210    0.009    0.000    0.027    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:589(count_contains)
       11    0.007    0.001    0.008    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      140    0.006    0.000    0.007    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
        1    0.006    0.006    0.007    0.007 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        1    0.006    0.006    0.009    0.009 C:\Users\Admin\anaconda3\lib\site-packages\pandas\io\parsers.py:1853(__init__)
5663/4306    0.005    0.000    0.008    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:213(stale)
2799/2481    0.005    0.000    0.033    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     5253    0.005    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\__init__.py:686(__getitem__)
        7    0.004    0.001    0.004    0.001 {built-in method io.open_code}
     1471    0.004    0.000    0.013    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
      179    0.003    0.000    0.088    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:268(_get_layout)
      273    0.003    0.000    0.011    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:972(update)
5529/5509    0.003    0.000    0.008    0.000 {built-in method builtins.getattr}
       24    0.003    0.000    0.003    0.000 {built-in method nt.stat}
9432/9431    0.003    0.000    0.005    0.000 {built-in method builtins.isinstance}
      202    0.003    0.000    0.005    0.000 C:\Users\Admin\anaconda3\lib\ntpath.py:450(normpath)
      101    0.003    0.000    0.043    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1411(get_font)
       42    0.002    0.000    0.012    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:2227(_raw_ticks)
     1221    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      545    0.002    0.000    0.007    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:766(__init__)
      884    0.002    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2045(_setattr_cm)
      150    0.002    0.000    0.088    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:863(get_window_extent)
        7    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      202    0.002    0.000    0.087    0.000 C:\Users\Admin\anaconda3\lib\ntpath.py:625(realpath)
      341    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
  518/186    0.002    0.000    0.269    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\deprecation.py:384(wrapper)
       60    0.002    0.000    0.014    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\lines.py:269(__init__)
      472    0.002    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:736(__hash__)
        1    0.002    0.002    0.008    0.008 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1316(_findfont_cached)
       84    0.002    0.000    0.020    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\lines.py:734(draw)
     5413    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x000002427F53AAF0}
   334/63    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.002    0.000    0.039    0.002 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:1016(_update_ticks)
      146    0.002    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:69(__init__)
      166    0.002    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1682(normalize_kwargs)
       66    0.002    0.000    0.031    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:667(draw)
      123    0.002    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:633(translated)
       18    0.002    0.000    0.025    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:56(__init__)
     8864    0.002    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\inspect.py:2551(kind)
       48    0.001    0.000    0.007    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\lines.py:650(recache)
     1593    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:107(__init__)
       40    0.001    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:873(_set_format)
      159    0.001    0.000    0.007    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:680(__init__)
     4348    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      227    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1192(score_stretch)
      404    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\ntpath.py:124(splitdrive)
      419    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:853(get_siblings)
        1    0.001    0.001    0.001    0.001 {built-in method gc.collect}
     1372    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2254(_check_in_list)
  240/195    0.001    0.000    0.005    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:2366(get_affine)
     5665    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:796(get_animated)
      202    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2219(_check_isinstance)
      358    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
      538    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\contextlib.py:82(__init__)
      895    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1702(__init__)
     1024    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       70    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:497(anchored)
      101    0.001    0.000    0.060    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1252(findfont)
    35/17    0.001    0.000    0.046    0.003 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\offsetbox.py:538(get_extent_offsets)
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
  487/259    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:158(_invalidate_internal)
     1471    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
       40    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:797(_compute_offset)
      358    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
      160    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:2844(_interval_contains_close)
  156/155    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:375(bounds)
      750    0.001    0.000    0.004    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:52(_stale_axes_callback)
      650    0.001    0.000    0.007    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2714(amin)
      120    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
      266    0.001    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
      227    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1131(score_family)
     5556    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      655    0.001    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2589(amax)
     2968    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:189(axes)
    206/2    0.001    0.000    0.223    0.112 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
5877/5827    0.001    0.000    0.001    0.000 {built-in method builtins.len}
1642/1637    0.001    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
      521    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       50    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:2764(nonsingular)
      429    0.001    0.000    0.008    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
      161    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:851(set_weight)
      538    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\contextlib.py:117(__exit__)
      426    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1832(__init__)
      329    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:820(get_unitless_position)
        7    0.001    0.000    0.048    0.007 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\legend.py:1022(_find_best_position)
       40    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:836(_set_order_of_magnitude)
      179    0.001    0.000    0.004    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:834(get_prop_tup)
     2491    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:971(get_points)
      227    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:185(set_children)
     4533    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\inspect.py:2539(name)
      138    0.001    0.000    0.004    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\markers.py:277(set_marker)
     4399    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      160    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:652(__call__)
        7    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
  341/339    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1794(transform_affine)
      170    0.001    0.000    0.008    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1399(transform)
      650    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(amin)
      199    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:887(set_size)
        2    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:90(__init__)
       71    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:628(padded)
      655    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(amax)
       91    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1982(scale)
  188/184    0.001    0.000    0.005    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axes\_base.py:635(_unstale_viewLim)
       86    0.001    0.000    0.105    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:215(get_text_width_height_descent)
      101    0.001    0.000    0.104    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:268(_get_agg_font)
      202    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\ntpath.py:61(isabs)
      227    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1154(<listcomp>)
     1358    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       12    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     16/4    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\sre_parse.py:493(_parse)
       38    0.001    0.000    0.015    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:658(union)
      166    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1742(<dictcomp>)
       42    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\ticker.py:2043(scale_range)
      830    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      404    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\ntpath.py:44(normcase)
  935/564    0.001    0.000    0.003    0.000 {built-in method builtins.hash}
       15    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      159    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:869(set_stretch)
       70    0.001    0.000    0.005    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\legend.py:984(_get_anchored_bbox)
      100    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\path.py:98(__init__)
     2545    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      538    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\contextlib.py:238(helper)
       84    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
      538    0.001    0.000    0.004    0.000 C:\Users\Admin\anaconda3\lib\contextlib.py:108(__enter__)
     2435    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      547    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      255    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\colors.py:161(to_rgba)
    18/11    0.001    0.000    0.042    0.004 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\offsetbox.py:460(get_extent_offsets)
      758    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:332(pchanged)
       89    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:538(update_position)
       89    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:467(update_position)
       76    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\backend_bases.py:736(__init__)
      606    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1308(<genexpr>)
      227    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\font_manager.py:1210(score_weight)
      134    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      421    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:804(clean)
       51    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\traitlets\traitlets.py:1229(_notify_observers)
      946    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      301    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(dot)
      211    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:309(xmin)
      381    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\lines.py:1232(set_xdata)
       42    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_methods.py:87(_clip_dep_invoke_with_casting)
      228    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:324(ymax)
      223    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:314(ymin)
      530    0.000    0.000    0.017    0.000 C:\Users\Admin\anaconda3\lib\inspect.py:3032(bind)
     1554    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\deprecation.py:399(<genexpr>)
      259    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:148(invalidate)
       46    0.000    0.000    0.008    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:127(__init__)
      607    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\figure.py:42(_stale_figure_callback)
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
       26    0.000    0.000    0.042    0.002 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\offsetbox.py:882(get_extent)
  512/288    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:2334(<lambda>)
      211    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:319(xmax)
      100    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2271(_check_shape)
       64    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:1065(update_from)
      238    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\markers.py:230(_recache)
       53    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\offsetbox.py:52(_get_packed_offsets)
      168    0.000    0.000    0.006    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:815(from_extents)
      114    0.000    0.000    0.005    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:168(update)
     2170    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
  150/130    0.000    0.000    0.004    0.000 C:\Users\Admin\anaconda3\lib\site-packages\traitlets\traitlets.py:533(get)
    76/72    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\spines.py:391(get_spine_transform)
      140    0.000    0.000    0.007    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\path.py:617(intersects_bbox)
      262    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\re.py:289(_compile)
      164    0.000    0.000    0.028    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\artist.py:1086(set)
       50    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
       60    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\text.py:39(get_rotation)
       70    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.count_bboxes_overlapping_bbox}
      636    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\sre_parse.py:233(__next)
     2290    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\lib\inspect.py:2543(default)
       25    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\path.py:572(get_extents)
       47    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\traitlets\traitlets.py:1540(_get_trait_default_generator)
      266    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1281(_to_unmasked_float_array)
      830    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\lib\abc.py:96(__instancecheck__)
      101    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:55(get_hinting_flag)
     1464    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       20    0.000    0.000    0.008    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:1285(get_minorticklocs)
       53    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\transforms.py:1921(rotate)
      591    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
       24    0.000    0.000    0.031    0.001 C:\Users\Admin\anaconda3\lib\site-packages\matplotlib\axis.py:283(draw)
