         52189 function calls (51126 primitive calls) in 5.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      969    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
        6    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        9    0.001    0.000    0.144    0.016 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:376(apply)
        6    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\numeric.py:2344(within_tol)
      367    0.001    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:703(is_integer_dtype)
    48/30    0.001    0.000    0.008    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
       59    0.001    0.000    0.005    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:2672(get_block_type)
     2910    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
   206/24    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      113    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
      928    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       36    0.001    0.000    0.004    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:1891(sequence_to_dt64ns)
       24    0.001    0.000    0.194    0.008 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:1378(take_nd)
       24    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:542(maybe_promote)
       87    0.001    0.000    0.008    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
        2    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      453    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
       18    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\missing.py:202(_isna_ndarraylike)
      376    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       24    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\algorithms.py:1534(_get_take_nd_function)
      174    0.001    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
        3    0.001    0.000    0.002    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\resample.py:1551(_adjust_bin_edges)
       35    0.001    0.000    0.083    0.002 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
      173    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       42    0.001    0.000    0.001    0.000 {built-in method pandas._libs.tslibs.offsets.to_offset}
      119    0.001    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
        3    0.001    0.000    0.016    0.005 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1057(iset)
    27/21    0.001    0.000    0.015    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\series.py:238(__init__)
      102    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\blocks.py:269(mgr_locs)
      421    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:195(<lambda>)
      258    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:1307(is_float_dtype)
        6    0.001    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:232(_rebuild_blknos_and_blklocs)
